web-scraper-order,web-scraper-start-url,more-button,professor link,professor link-href,Review-Body,Date,Course-Name,For-Credit,Attendance,Take-Again,Grade,Textbook,Quality,Difficulty,more-ratings
"1714778745-336","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY2.326 ratingsCaren CrandellInformation ScienceUniversity of Washington15% would take again 3.7 level of difficulty","https://www.ratemyprofessors.com/professor/1794182","Just really tough.  I am a 3.8 student and this course kicked my butt.  Nothing against her, interesting class, just really tough.","Jan 31st, 2014","BIS241","Attendance: Mandatory","Grade: C-","Textbook: Yes","Textbook: Yes","","Quality2.5","5.0",""
"1714778756-337","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.99 ratingsRobertson AllenAnthropologyUniversity of Washington100% would take again 2 level of difficulty","https://www.ratemyprofessors.com/professor/1792870","I just graduated. MCS major, class of '20. I had Rob in fall 2015, my first quarter here. He's seriously one of the best professors I've had at UWB. He's why I declared my major. He's the kind of teacher who sticks with you - really knowledgeable, impactful, and funny. No one will ever take him anymore because he left in 2016, but he's great.","Jul 25th, 2020","BIS236","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: No","Quality5.0","1.0",""
"1714778756-338","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.99 ratingsRobertson AllenAnthropologyUniversity of Washington100% would take again 2 level of difficulty","https://www.ratemyprofessors.com/professor/1792870","One of my favorite classes and I'm not even a gamer. Syllabus was laid out very well. Readings (all available online and not e-reserves) were not hard, but interesting. Applicable videos to lesson. Rob was very understanding when it came to assignments and deadlines. If you show up and make an effort, you will do well in this class.","Mar 28th, 2015","BIS236","For Credit: Yes","Textbook: No","","","","Quality5.0","2.0",""
"1714778756-339","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.99 ratingsRobertson AllenAnthropologyUniversity of Washington100% would take again 2 level of difficulty","https://www.ratemyprofessors.com/professor/1792870","He's a nice guy! Obviously likes what he does and is happy to help. Taken 2 classes with him now.","Feb 10th, 2015","BIS313","For Credit: Yes","Textbook: No","","","","Quality4.0","2.0",""
"1714778756-340","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.99 ratingsRobertson AllenAnthropologyUniversity of Washington100% would take again 2 level of difficulty","https://www.ratemyprofessors.com/professor/1792870","Professor Rob is a friendly guy and the class and assignments are organized well. A little hard to reach in person but he emails really fast back to questions. Fieldwork ethnography project was fun and basically on a game or group of gamers you want to study. Being there is important since there are quizzes and he reviews the quiz answers in class.","Dec 12th, 2014","BIS236","For Credit: Yes","Attendance: Mandatory","Textbook: Yes","Textbook: Yes","","Quality5.0","3.0",""
"1714778756-341","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.99 ratingsRobertson AllenAnthropologyUniversity of Washington100% would take again 2 level of difficulty","https://www.ratemyprofessors.com/professor/1792870","Professor Allen is highly knowledgeable in his professed field, as well as highly passionate. It shows in his teaching. Reading quantity was moderate and he was more than fair in everything he assigned. I loved that he didn't take crap from the students, too--he stood up for himself and his methods and he didn't tolerate certain hurtful words.","Mar 30th, 2014","BIS236","Attendance: Mandatory","Grade: A","Textbook: Yes","Textbook: Yes","","Quality5.0","2.0",""
"1714778756-342","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.99 ratingsRobertson AllenAnthropologyUniversity of Washington100% would take again 2 level of difficulty","https://www.ratemyprofessors.com/professor/1792870","You learn a lot in his class. Course materials are interesting. He is easy grader and very fair and clear. One of the best professor at UWB.","Jul 31st, 2013","BIS313","Textbook: Yes","","","","","Quality5.0","2.0",""
"1714778756-343","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.99 ratingsRobertson AllenAnthropologyUniversity of Washington100% would take again 2 level of difficulty","https://www.ratemyprofessors.com/professor/1792870","Rob is a great teacher! Moderate to heavy workload, but learned a ton.  Very clear on expectations.  Highly recommended.","Apr 1st, 2013","BIS313","Textbook: No","","","","","Quality4.5","2.0",""
"1714778756-344","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.99 ratingsRobertson AllenAnthropologyUniversity of Washington100% would take again 2 level of difficulty","https://www.ratemyprofessors.com/professor/1792870","I took his class twice. He is fair, clear, and very easy going. One of my favorite teachers at UWB. As long as you do readings and attend class, you will have no problem. You will watch a lot of films and he loves military.","Feb 21st, 2013","BIS313","Textbook: Yes","","","","","Quality5.0","2.0",""
"1714778756-345","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.99 ratingsRobertson AllenAnthropologyUniversity of Washington100% would take again 2 level of difficulty","https://www.ratemyprofessors.com/professor/1792870","Rob's class is a lot of fun. Plenty of movies and fairly easy assignments. The quizzes aren't too bad as long as you read the text. There are several written essays and a final project based upon ethnographic research you've performed. No restrictions are given as long as it's related to the class!","Jan 16th, 2013","BIS236","Textbook: Yes","","","","","Quality5.0","2.0",""
"1714778763-346","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.26 ratingsSharon CrowleyEnglishUniversity of WashingtonN/A would take again 4.2 level of difficulty","https://www.ratemyprofessors.com/professor/1788899","1. We do very little actual writing during class, she treats class like a lecture
 2. She sometimes goes into the TMI area. I don’t want to know my teacher has ADD, that’s personal information I don’t want to know about
 3. Its a very disengaging class: she talks through most of it. Not structured.
 4. Posts grades leisurely Take at your own risk","Jul 25th, 2013","BCUSP134","Textbook: No","","","","","Quality2.0","4.0",""
"1714778763-347","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.26 ratingsSharon CrowleyEnglishUniversity of WashingtonN/A would take again 4.2 level of difficulty","https://www.ratemyprofessors.com/professor/1788899","Boring and lazy. Doesn't post grades on time and also its hard to get a good grade in her class. I don't recommend her class.","Jun 27th, 2013","BCUSP134","Textbook: No","","","","","Quality2.5","4.0",""
"1714778763-348","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.26 ratingsSharon CrowleyEnglishUniversity of WashingtonN/A would take again 4.2 level of difficulty","https://www.ratemyprofessors.com/professor/1788899","She grades extremely hard. Very hard to get a good grade in her class. She does not posts grades on time. She is a very boring instructor although she ""tries"" to make it fun but its not. You should avoid just plainly for the sake of your grades.","May 27th, 2013","BCUSP134","Textbook: No","","","","","Quality2.5","5.0",""
"1714778763-349","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.26 ratingsSharon CrowleyEnglishUniversity of WashingtonN/A would take again 4.2 level of difficulty","https://www.ratemyprofessors.com/professor/1788899","She is a nice teacher. In her class, she does a lot of fun stuff. However, it is difficult to get a good grade in her class. She is strict when grading your work.","Mar 14th, 2013","BCUSP134","Textbook: No","","","","","Quality3.5","5.0",""
"1714778763-350","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.26 ratingsSharon CrowleyEnglishUniversity of WashingtonN/A would take again 4.2 level of difficulty","https://www.ratemyprofessors.com/professor/1788899","One of my favorite teachers I have ever had. Extremely helpful, extremely fun, and keeps things interesting. She is really kind and cares a lot about her students. I've taken 3 classes with her and all have been fairly difficult but I really enjoyed them thanks to her.","Feb 25th, 2013","BCUSP135","Textbook: Yes","","","","","Quality5.0","4.0",""
"1714778763-351","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.26 ratingsSharon CrowleyEnglishUniversity of WashingtonN/A would take again 4.2 level of difficulty","https://www.ratemyprofessors.com/professor/1788899","Sharon is very nice. We had a lot of readings to do for homework and we wrote a lot of short papers, but at the end for your final grade she will give you a grade based on how much your short papers improved upon the course of the quarter.","Jan 2nd, 2013","BCUSP107","Textbook: No","","","","","Quality3.5","3.0",""
"1714778788-352","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.55 ratingsLeissle KristyPhilosophyUniversity of Washington100% would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1788819","Dr. Leissle is very resourceful and accessible through email when you need her. Her classes are very well organized. She's funny, nice, and really cares about you and the material she's teaching. She's a very good teacher and knows how to embed information in you without you ever forgetting.","Nov 24th, 2016","BCORE104","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: No","Quality5.0","4.0",""
"1714778788-353","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.55 ratingsLeissle KristyPhilosophyUniversity of Washington100% would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1788819","There was not a lot of homework, but she is very specific about what she wants and if you miss something you will lose points. I learned SO much in this class and the content was super interesting. There is one essay and one weekly assignment usually only a paragraph. I highly recommend taking her, she is a great professor.","May 31st, 2015","BIS264","For Credit: Yes","Textbook: No","","","","Quality3.5","2.0",""
"1714778788-354","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.55 ratingsLeissle KristyPhilosophyUniversity of Washington100% would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1788819","Easily my favorite professor so far at UWB. Her class was extremely interesting and I learned a ton. She cared so much about what her students learned and was always available if any clarifying questions. Class discussions were a blast, and although her tests were hard I really enjoyed the essays. Great class that I looked forward to every day","Jun 9th, 2014","BIS282","Attendance: Mandatory","Grade: A","Textbook: Yes","Textbook: Yes","","Quality5.0","3.0",""
"1714778788-355","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.55 ratingsLeissle KristyPhilosophyUniversity of Washington100% would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1788819","First things first: Follow EVERY direction. You'll get docked for small mistakes, and with only 4 assignments total, they add up. Otherwise, she's a great teacher. It's obvious that she knows a lot, but for some reason, does not teach what she knows outside of the book. Best to be very active and ask questions if you want to know more.","Dec 10th, 2013","BIS282","Textbook: Yes","","","","","Quality4.0","3.0",""
"1714778788-356","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.55 ratingsLeissle KristyPhilosophyUniversity of Washington100% would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1788819","She was a really awesome professor. She co-taught a class with David Nixon, and she did an excellent job with that. I didn't find her as interesting as I did David, but she provided tremendous thought provoking questions and insights. I would definitely take her class again, in a heartbeat. She makes you work for your grade, but is still fun.","Jan 2nd, 2013","BCUSPG","Textbook: No","","","","","Quality5.0","3.0",""
"1714778814-357","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.83 ratingsCalla ChancellorWritingUniversity of WashingtonN/A would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1787781","""Queer Desires"" was an awesome class!  Calla was understanding and willing to work with me when I had trouble working with a prompt.","Jun 26th, 2013","GWSS464","Textbook: Yes","","","","","Quality4.5","4.0",""
"1714778814-358","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.83 ratingsCalla ChancellorWritingUniversity of WashingtonN/A would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1787781","She was really good and helpful.If you are a good writer then you will get a 3.5 or higher, however if you are not good at peer reviewing then put more effort into that because she might grade you harshly. She also responds promptly to emails and is very helpful outside of class.","Mar 7th, 2013","BCUSP134","Textbook: Yes","","","","","Quality5.0","3.0",""
"1714778814-359","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.83 ratingsCalla ChancellorWritingUniversity of WashingtonN/A would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1787781","She is funny and really nice! She cancelled class a lot, which was pretty cool because I got to sleep in a little more. Her assignments are easy, and you really will learn how to improve your writing skills. Btw, she has a huge tattoo on her right arm, it's pretty shocking when you see it! She is so awesome thouggggh!","Dec 28th, 2012","BCUSP134A","Textbook: Yes","","","","","Quality5.0","2.0",""
"1714778831-360","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","She is a communist recruiter. Her into to sociology class is a way for her to vent about having people that make money through hard work. She gives 3 essays a week to brain wash you into believing her own agenda. Stay away from intro to sociology if you are not a leftist radical","Feb 27th, 2024","BIS181","For Credit: Yes","Attendance: Not Mandatory","Grade: Not sure yet","Grade: Not sure yet","Online Class: Yes","Quality1.0","3.0",""
"1714778831-361","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","Horrible structure of the class. Imagine working full-time as an intern and you are required for 3 mandatory 2-hour meetings throughout the quarter which covers absolutely nothing. Meanwhile being assigned a bunch of readings which is not informative at all. Do not take this class unless your really don't like other IPR requirements.","Jun 28th, 2022","BIS495","For Credit: Yes","Attendance: Mandatory","Grade: Not sure yet","Grade: Not sure yet","Helpful 1 0","Quality1.0","5.0",""
"1714778831-362","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","Shes a nice person but this class was NOT for me. Shes not ver clear in what she wants and there is so much material. I had to use my annual drop for another class just so I could get a hold on things. I am an excessive note-taker which doesnt help. And I have a disability. She rarely responds to messages. Its taken a toll on my mental health","May 28th, 2019","BCORE118D","For Credit: Yes","Attendance: Mandatory","Would Take Again: No","Would Take Again: No","Helpful 1 0","Quality2.0","5.0",""
"1714778831-363","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","Her assignments are very unclear. Written and verbal instructions are often contradictory. The assignments themselves are in no way challenging and honestly felt like a waste of time. You will not learn anything through the homework or the outdated films we have to watch.","Mar 8th, 2019","BCUSP181","For Credit: Yes","Attendance: Mandatory","Would Take Again: No","Would Take Again: No","Textbook: Yes","Quality1.0","1.0",""
"1714778831-364","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","this class was 50% hybrid which she doesn't say in her schedule. have to watch a lot of shows and films have to write weekly journals on the movies you watched and Social justice journal for current event related to racism. Come to class be a part of the discussion and you will pass the class. She is really understandable.","Feb 26th, 2019","BCORE115","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: Yes","Quality5.0","1.0",""
"1714778831-365","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","Loren is really sweet though she rambles quite a bit and often loses her train of thought. Lots of group projects and online assignments (too many imo and some felt pointless) but they aren't too hard and she's an easy grader. Just read the textbook and do the practice ""quizzes"" and you should be good for the exams.","May 8th, 2018","BIS181","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: Yes","Quality4.0","3.0",""
"1714778831-366","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","Loren is a very humble professor cares about her students. She always gave good feedback and never shut down students answers. The class is graded among very small group work assignments and BCORE activities. We watched a lot of videos and was a super laid back class. Recommend if you have an interest learning about politics and DACA. Easy A class","Apr 23rd, 2018","BCORE107","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: No","Quality4.0","2.0",""
"1714778831-367","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","Not sure why her ratings are so low! Loren is such a caring, sweet professor that really loves what she teaches. There are about 1-2 online assignments a week, lots of in-class activities based on participation, and two exams that were quite easy. There are also a couple of extra credit opportunities that really help to boost your grade as well!","Mar 13th, 2018","BIS181","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Helpful 0 0","Quality5.0","2.0",""
"1714778831-368","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","she's very nice and sweet. but for this bcore It was 50% hybrid and I think it could have been 100% because what we did in class was just discussions. she makes you work in your groups most of the time, but its nothing hard. I can say you don't need to do the readings, assignments are time consuming but very easy.","Mar 8th, 2018","BCORE115","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Helpful 2 0","Quality3.0","2.0",""
"1714778831-369","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","She's a really nice and humble person although her talks in class are often boring. Cares a lot about political topics and social issues. Lots of group work and a fair amount of outside classwork. But be sure to turn your work in on time or no credit. I've taken two of her classes, recommended if you want an easy A.","Feb 23rd, 2018","BCORE115","For Credit: Yes","Attendance: Mandatory","Would Take Again: No","Would Take Again: No","Textbook: Yes","Quality3.0","2.0",""
"1714778831-370","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","I don't know what I learn in this class because she didn't teach anything in the class. She even didn't talk about the lecture and we just did a lot of group project and watch the movie. Most time we did is figuring out what she wants. Her grading rubric is also unclear so you will never know what grade you will get.","Mar 10th, 2017","BCUSP181","For Credit: Yes","Attendance: Mandatory","Would Take Again: No","Would Take Again: No","Textbook: Yes","Quality1.0","4.0",""
"1714778831-371","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","Her lecture is not so clear. The topics are interesting but she does not make it interesting to students.","Nov 22nd, 2016","BCUSP181","For Credit: Yes","Attendance: Mandatory","Would Take Again: No","Would Take Again: No","Textbook: Yes","Quality1.0","4.0",""
"1714778831-372","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","She rambles a lot. VERY bias and political. She's not open to other people's opinions. There was no point in doing the readings that are due that day because she doesn't address them in class. She has you watch a lot of movies that degrade people who are not ""truly marginalized.""","Nov 16th, 2016","BIS181","For Credit: Yes","Attendance: Not Mandatory","Would Take Again: No","Would Take Again: No","Helpful 5 0","Quality1.0","1.0",""
"1714778831-373","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","I have her for a class on social change and the DREAM act, and it seems every time she talks my whole class gets more and more confused. She says ""um"" a lot and has to answer questions over and over again because no one knows what she's talking about. It's a month in and she hasn't put in any grades yet. She's a nice lady for sure though.","Oct 24th, 2016","BCORE107","For Credit: Yes","Attendance: Mandatory","Would Take Again: No","Would Take Again: No","Helpful 3 0","Quality2.0","2.0",""
"1714778831-374","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","Loren Redwood is a great teacher and super nice. Homework is reasonable.  I will take another class with her for sure. Cool lady.","May 27th, 2016","BIS319A","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: No","Quality5.0","2.0",""
"1714778831-375","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","She seems to have a hard time spitting out what she's trying to say. Lots of 'ums' and 'I lost my train of thought' which is annoying since she basically lectures the entire class. There's an attendance sheet so you have to show up to each class AND participate. Sucks that it's not better taught because the subject seems interesting.","Feb 15th, 2016","BCUSP181","For Credit: Yes","Attendance: Mandatory","Grade: A","Grade: A","","Quality2.5","3.0",""
"1714778831-376","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","This class requires way too much work on top of the required internship hours. BEWARE!!! Professor is nice and willing to work with you but she is terrible at returning emails in a timely manner. I would not recommend taking this class with a heavy class-load. Five credits feels more like eight credits.","Aug 5th, 2015","BIS495","For Credit: Yes","Attendance: Mandatory","Textbook: No","Textbook: No","","Quality2.0","4.0",""
"1714778831-377","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","Because of medical excuses, much of the class was disoriented and even crucial days, like the day of presentations, were cancelled. The syllabus was rearranged several times and caused many students to be on different pages- confusing. The majority of the class is based on reading & there are no lectures- fairly UNNECESSARY to go to class.","Mar 16th, 2015","BCUSP181","For Credit: Yes","Attendance: Mandatory","Grade: A-","Grade: A-","","Quality1.5","3.0",""
"1714778831-378","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","Everything is clearly laid out. Do it and you'll get a good grade! Quizzes easy, exams open note. Make sure not to come to class lateuse cell phone or she'll call you out. Sometimes class will be canceled due to medical problems. Only thing I didn't like was her grading took a while. She also rambles a lot + hour long videos in class got boring.","Mar 13th, 2015","BCUSP181","For Credit: Yes","Textbook: Yes","","","","Quality5.0","1.0",""
"1714778831-379","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","She isn't necessarily a bad teacher per se, If she thinks you are a disrespectful person she will call you out on it and your relationship won't improve from there. If you need help, she'll help you, but her tone of voice towards you will reflect how she feels of you. Take her class but don't get on her bad side, you'll never leave it.","Mar 12th, 2015","BIS405","For Credit: Yes","Attendance: Mandatory","Grade: Not sure yet","Grade: Not sure yet","","Quality3.0","5.0",""
"1714778831-380","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","She has a lot of knowledge on the subject but didn't really share it. The class relied on the texts but you didn't really need to read for the assignments.","Dec 3rd, 2014","BCORE107","For Credit: Yes","Attendance: Not Mandatory","Grade: A+","Grade: A+","","Quality3.0","1.0",""
"1714778831-381","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","Easy A, let her know who you are and shine!","Jun 22nd, 2014","BCUSP118","Attendance: Mandatory","Grade: A+","Textbook: Yes","Textbook: Yes","","Quality5.0","1.0",""
"1714778831-382","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","One of the most wonderful, caring, and understanding professors I've had. Gives us reasonable work within a reasonable amount of time and it is not hard at all. Her attempts  to get the class to critically think about their surroundings and use it to reflect on their lives. Class was great and mind-stretching. RECOMMEND!","May 13th, 2014","BCUSP118","Attendance: Mandatory","Grade: Pass","Textbook: Yes","Textbook: Yes","","Quality4.0","1.0",""
"1714778831-383","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","Assigns a lot of reading in order to complete in-class reading responses (with specific length required). Her class was easy overall, but not very enjoyable, since our discussions were mostly recaps of what we read in our own words. Felt like we went around in circles with the same topic. She's very nice and friendly. Sometimes takes attendance.","Jan 23rd, 2014","BCUSP107","Attendance: Mandatory","Grade: A+","Textbook: Yes","Textbook: Yes","","Quality4.0","1.0",""
"1714778831-384","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","This professor is super easy, just write something for the assignment and you'll get full credit. Easy A from this professor!","Dec 17th, 2013","BIS433","Attendance: Mandatory","Grade: A","Textbook: Yes","Textbook: Yes","","Quality3.0","1.0",""
"1714778831-385","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","Honestly, I didn't do any of the readings and still received a 4.0, write something relevant down for the reading responses and you get full points, so easy.","Nov 22nd, 2013","BCUSP107","Attendance: Mandatory","Grade: A","Textbook: Yes","Textbook: Yes","","Quality4.0","1.0",""
"1714778831-386","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","Professor Redwood is a great person and easy to deal with. There is a lot of busy work (reading and writing)and the final paper was large at 12 pages. Her lectures were difficult to follow as she says umm and ahh a lot. It was very distracting. The books assigned overlapped each other so that it felt like you were reading the same book three times.","May 16th, 2013","BISAMS363","Textbook: Yes","","","","","Quality3.0","3.0",""
"1714778831-387","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.126 ratingsLoren RedwoodSociologyUniversity of Washington47% would take again 2.3 level of difficulty","https://www.ratemyprofessors.com/professor/1783453","Race, Ethnicity & Immigration. Professor Redwood helped us to connect immigration issues that occurred in our area and the Japanese internment during World War II in an interesting way.","Dec 16th, 2012","BISAM367","Textbook: Yes","","","","","Quality4.5","1.0",""
"1714778842-388","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.025 ratingsErin HillPhysicsUniversity of Washington32% would take again 3.8 level of difficulty","https://www.ratemyprofessors.com/professor/1783067","Gets you engaged in class, and trying programming concepts hands on. Just the right amount of lecture and hands on practice. Also super helpful when asking for help, and accessible for anyone who's struggling. Probably the best professor I've had.","Jan 17th, 2019","CSS142","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: Yes","Quality5.0","4.0",""
"1714778842-389","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY3.025 ratingsErin HillPhysicsUniversity of Washington32% would take again 3.8 level of difficulty","https://www.ratemyprofessors.com/professor/1783067","If you don't read the textbook very carefully, you're going to be confused in class. Also when she assigns a difficult problem for group work, usually one or two groups know the answer and the rest of the class leaves the room struggling. But in all fairness I respect her system. So ALWAYS ask questions and go to her office hours if you're stuck.","Nov 25th, 2018","BPHYS121","For Credit: Yes","Attendance: Mandatory","Would Take Again: No","Would Take Again: No","Helpful 0 0","Quality3.0","4.0",""
